[ 2012-11-22T09:18:15+08:00 ] / | NOTIC: [8] Undefined index:  account_id CommonAction.class.php 第 17 行.
[ 2012-11-22T09:18:15+08:00 ] / | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.001137s ]
[ 2012-11-22T09:18:15+08:00 ] / | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'xiaoluo'@'localhost' (using password: NO) CommonAction.class.php 第 125 行.
[ 2012-11-22T09:18:16+08:00 ] /index.php/Index/main | NOTIC: [8] Undefined index:  account_id CommonAction.class.php 第 17 行.
[ 2012-11-22T09:18:16+08:00 ] /index.php/Index/main | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.001170s ]
[ 2012-11-22T09:18:16+08:00 ] /index.php/Index/main | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'xiaoluo'@'localhost' (using password: NO) CommonAction.class.php 第 125 行.
[ 2012-11-22T09:18:16+08:00 ] /index.php/Index/main | SQL: SELECT * FROM `y_account` ORDER BY id desc [ RunTime:0.000663s ]
[ 2012-11-22T09:18:16+08:00 ] /index.php/Index/main | NOTIC: [8] Undefined index:  searchkey IndexAction.class.php 第 27 行.
[ 2012-11-22T09:18:16+08:00 ] /index.php/Index/main | NOTIC: [8] Undefined variable: where IndexAction.class.php 第 31 行.
[ 2012-11-22T09:18:16+08:00 ] /index.php/Index/main | SQL: SELECT COUNT(*) AS tp_count FROM `y_account` LIMIT 1  [ RunTime:0.000119s ]
[ 2012-11-22T09:18:16+08:00 ] /index.php/Index/main | SQL: SELECT * FROM `y_account` ORDER BY `id` desc LIMIT 0,20  [ RunTime:0.000332s ]
[ 2012-11-22T09:18:16+08:00 ] /index.php/Index/main | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 159 行.
[ 2012-11-22T09:18:16+08:00 ] /index.php/Index/left | NOTIC: [8] Undefined index:  account_id CommonAction.class.php 第 17 行.
[ 2012-11-22T09:18:16+08:00 ] /index.php/Index/left | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.001367s ]
[ 2012-11-22T09:18:16+08:00 ] /index.php/Index/left | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'xiaoluo'@'localhost' (using password: NO) CommonAction.class.php 第 125 行.
[ 2012-11-22T09:18:16+08:00 ] /index.php/Index/left | NOTIC: [8] Undefined index:  account_id 196c657f8b82048b1beeb0f9599f5fdc.php 第 15 行.
[ 2012-11-22T09:18:16+08:00 ] /index.php/Index/left | NOTIC: [8] Undefined variable: isConnect 196c657f8b82048b1beeb0f9599f5fdc.php 第 59 行.
[ 2012-11-22T09:18:16+08:00 ] /index.php/Index/left | NOTIC: [8] Undefined variable: langList 196c657f8b82048b1beeb0f9599f5fdc.php 第 114 行.
[ 2012-11-22T09:18:16+08:00 ] /index.php/Index/left | NOTIC: [8] Undefined variable: moduleList 196c657f8b82048b1beeb0f9599f5fdc.php 第 220 行.
[ 2012-11-22T09:18:16+08:00 ] /index.php/Index/left | NOTIC: [8] Undefined index:  tab_id 196c657f8b82048b1beeb0f9599f5fdc.php 第 287 行.
[ 2012-11-22T09:18:31+08:00 ] /index.php/Index/main?searchkey=gd-lighting.com.cn | NOTIC: [8] Undefined index:  account_id CommonAction.class.php 第 17 行.
[ 2012-11-22T09:18:31+08:00 ] /index.php/Index/main?searchkey=gd-lighting.com.cn | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.001197s ]
[ 2012-11-22T09:18:31+08:00 ] /index.php/Index/main?searchkey=gd-lighting.com.cn | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'xiaoluo'@'localhost' (using password: NO) CommonAction.class.php 第 125 行.
[ 2012-11-22T09:18:31+08:00 ] /index.php/Index/main?searchkey=gd-lighting.com.cn | SQL: SELECT * FROM `y_account` ORDER BY id desc [ RunTime:0.000159s ]
[ 2012-11-22T09:18:31+08:00 ] /index.php/Index/main?searchkey=gd-lighting.com.cn | SQL: SELECT COUNT(*) AS tp_count FROM `y_account` WHERE ( website_name like '%gd-lighting.com.cn%' OR contract_number like '%gd-lighting.com.cn%' OR url like '%gd-lighting.com.cn%' ) LIMIT 1  [ RunTime:0.000354s ]
[ 2012-11-22T09:18:31+08:00 ] /index.php/Index/main?searchkey=gd-lighting.com.cn | SQL: SELECT * FROM `y_account` WHERE ( website_name like '%gd-lighting.com.cn%' OR contract_number like '%gd-lighting.com.cn%' OR url like '%gd-lighting.com.cn%' ) ORDER BY `id` desc LIMIT 0,20  [ RunTime:0.000316s ]
[ 2012-11-22T09:18:31+08:00 ] /index.php/Index/main?searchkey=gd-lighting.com.cn | NOTIC: [2048] Creating default object from empty value CommonAction.class.php 第 161 行.
[ 2012-11-22T09:18:41+08:00 ] /index.php/Account/edit/id/34 | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.000943s ]
[ 2012-11-22T09:18:41+08:00 ] /index.php/Account/edit/id/34 | SQL: SELECT * FROM `y_account` WHERE ( `id` = '34' ) LIMIT 1  [ RunTime:0.000193s ]
[ 2012-11-22T09:18:41+08:00 ] /index.php/Account/edit/id/34 | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.000439s ]
[ 2012-11-22T09:18:41+08:00 ] /index.php/Account/edit/id/34 | SQL: SELECT `modules` FROM `y_account` WHERE ( `id` = '34' ) LIMIT 1  [ RunTime:0.000139s ]
[ 2012-11-22T09:18:41+08:00 ] /index.php/Account/edit/id/34 | SQL: SELECT * FROM `y_category` WHERE ( `id` IN ('36','19','20','21','22','23','27','37') ) ORDER BY ordernum desc [ RunTime:0.000067s ]
[ 2012-11-22T09:18:41+08:00 ] /index.php/Account/edit/id/34 | SQL: SELECT * FROM `y_category` WHERE ( `pid` = 11 ) ORDER BY ordernum desc [ RunTime:0.000392s ]
[ 2012-11-22T09:18:41+08:00 ] /index.php/Account/edit/id/34 | NOTIC: [8] Undefined index:  tab_id 196c657f8b82048b1beeb0f9599f5fdc.php 第 287 行.
[ 2012-11-22T09:19:13+08:00 ] /index.php/Account/edit/id/34/tab_id/test1 | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.000961s ]
[ 2012-11-22T09:19:13+08:00 ] /index.php/Account/edit/id/34/tab_id/test1 | SQL: SELECT * FROM `y_account` WHERE ( `id` = '34' ) LIMIT 1  [ RunTime:0.000242s ]
[ 2012-11-22T09:19:13+08:00 ] /index.php/Account/edit/id/34/tab_id/test1 | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.000410s ]
[ 2012-11-22T09:19:13+08:00 ] /index.php/Account/edit/id/34/tab_id/test1 | SQL: SELECT `modules` FROM `y_account` WHERE ( `id` = '34' ) LIMIT 1  [ RunTime:0.000173s ]
[ 2012-11-22T09:19:13+08:00 ] /index.php/Account/edit/id/34/tab_id/test1 | SQL: SELECT * FROM `y_category` WHERE ( `id` IN ('36','19','20','21','22','23','27','37') ) ORDER BY ordernum desc [ RunTime:0.000065s ]
[ 2012-11-22T09:19:13+08:00 ] /index.php/Account/edit/id/34/tab_id/test1 | SQL: SELECT * FROM `y_category` WHERE ( `pid` = 11 ) ORDER BY ordernum desc [ RunTime:0.000065s ]
[ 2012-11-22T09:19:14+08:00 ] /index.php/Index/main | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.001189s ]
[ 2012-11-22T09:19:14+08:00 ] /index.php/Index/main | SQL: SELECT * FROM `y_account` WHERE ( `id` = '34' ) LIMIT 1  [ RunTime:0.000071s ]
[ 2012-11-22T09:19:14+08:00 ] /index.php/Index/main | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.000416s ]
[ 2012-11-22T09:19:14+08:00 ] /index.php/Index/main | SQL: SELECT * FROM `y_account` ORDER BY id desc [ RunTime:0.000666s ]
[ 2012-11-22T09:19:14+08:00 ] /index.php/Index/main | NOTIC: [8] Undefined index:  searchkey IndexAction.class.php 第 27 行.
[ 2012-11-22T09:19:14+08:00 ] /index.php/Index/main | NOTIC: [8] Undefined variable: where IndexAction.class.php 第 31 行.
[ 2012-11-22T09:19:14+08:00 ] /index.php/Index/main | SQL: SELECT COUNT(*) AS tp_count FROM `y_account` LIMIT 1  [ RunTime:0.000133s ]
[ 2012-11-22T09:19:14+08:00 ] /index.php/Index/main | SQL: SELECT * FROM `y_account` ORDER BY `id` desc LIMIT 0,20  [ RunTime:0.000321s ]
[ 2012-11-22T09:19:14+08:00 ] /index.php/Index/main | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 159 行.
[ 2012-11-22T09:19:14+08:00 ] /index.php/Account/edit/id/34/tab_id/test2 | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.001335s ]
[ 2012-11-22T09:19:14+08:00 ] /index.php/Account/edit/id/34/tab_id/test2 | SQL: SELECT * FROM `y_account` WHERE ( `id` = '34' ) LIMIT 1  [ RunTime:0.000075s ]
[ 2012-11-22T09:19:14+08:00 ] /index.php/Account/edit/id/34/tab_id/test2 | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.000448s ]
[ 2012-11-22T09:19:14+08:00 ] /index.php/Account/edit/id/34/tab_id/test2 | SQL: SELECT `modules` FROM `y_account` WHERE ( `id` = '34' ) LIMIT 1  [ RunTime:0.000057s ]
[ 2012-11-22T09:19:14+08:00 ] /index.php/Account/edit/id/34/tab_id/test2 | SQL: SELECT * FROM `y_category` WHERE ( `id` IN ('36','19','20','21','22','23','27','37') ) ORDER BY ordernum desc [ RunTime:0.000091s ]
[ 2012-11-22T09:19:14+08:00 ] /index.php/Account/edit/id/34/tab_id/test2 | SQL: SELECT * FROM `y_category` WHERE ( `pid` = 11 ) ORDER BY ordernum desc [ RunTime:0.000068s ]
[ 2012-11-22T09:19:18+08:00 ] /index.php/Index/main?searchkey=gd-lighting.com.cn%2C | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.001164s ]
[ 2012-11-22T09:19:18+08:00 ] /index.php/Index/main?searchkey=gd-lighting.com.cn%2C | SQL: SELECT * FROM `y_account` WHERE ( `id` = '34' ) LIMIT 1  [ RunTime:0.000100s ]
[ 2012-11-22T09:19:18+08:00 ] /index.php/Index/main?searchkey=gd-lighting.com.cn%2C | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.000652s ]
[ 2012-11-22T09:19:18+08:00 ] /index.php/Index/main?searchkey=gd-lighting.com.cn%2C | SQL: SELECT * FROM `y_account` ORDER BY id desc [ RunTime:0.000188s ]
[ 2012-11-22T09:19:18+08:00 ] /index.php/Index/main?searchkey=gd-lighting.com.cn%2C | SQL: SELECT COUNT(*) AS tp_count FROM `y_account` WHERE ( website_name like '%gd-lighting.com.cn,%' OR contract_number like '%gd-lighting.com.cn,%' OR url like '%gd-lighting.com.cn,%' ) LIMIT 1  [ RunTime:0.000395s ]
[ 2012-11-22T09:19:18+08:00 ] /index.php/Index/main?searchkey=gd-lighting.com.cn%2C | SQL: SELECT * FROM `y_account` WHERE ( website_name like '%gd-lighting.com.cn,%' OR contract_number like '%gd-lighting.com.cn,%' OR url like '%gd-lighting.com.cn,%' ) ORDER BY `id` desc LIMIT 0,20  [ RunTime:0.000351s ]
[ 2012-11-22T09:19:18+08:00 ] /index.php/Index/main?searchkey=gd-lighting.com.cn%2C | NOTIC: [2048] Creating default object from empty value CommonAction.class.php 第 161 行.
[ 2012-11-22T10:26:22+08:00 ] / | NOTIC: [8] Undefined index:  account_id CommonAction.class.php 第 17 行.
[ 2012-11-22T10:26:22+08:00 ] / | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.001213s ]
[ 2012-11-22T10:26:22+08:00 ] / | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'xiaoluo'@'localhost' (using password: NO) CommonAction.class.php 第 125 行.
[ 2012-11-22T10:26:22+08:00 ] /index.php/Index/left | NOTIC: [8] Undefined index:  account_id CommonAction.class.php 第 17 行.
[ 2012-11-22T10:26:22+08:00 ] /index.php/Index/left | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.000999s ]
[ 2012-11-22T10:26:22+08:00 ] /index.php/Index/left | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'xiaoluo'@'localhost' (using password: NO) CommonAction.class.php 第 125 行.
[ 2012-11-22T10:26:22+08:00 ] /index.php/Index/left | NOTIC: [8] Undefined index:  account_id 196c657f8b82048b1beeb0f9599f5fdc.php 第 15 行.
[ 2012-11-22T10:26:22+08:00 ] /index.php/Index/left | NOTIC: [8] Undefined variable: isConnect 196c657f8b82048b1beeb0f9599f5fdc.php 第 59 行.
[ 2012-11-22T10:26:22+08:00 ] /index.php/Index/left | NOTIC: [8] Undefined variable: langList 196c657f8b82048b1beeb0f9599f5fdc.php 第 114 行.
[ 2012-11-22T10:26:22+08:00 ] /index.php/Index/left | NOTIC: [8] Undefined variable: moduleList 196c657f8b82048b1beeb0f9599f5fdc.php 第 220 行.
[ 2012-11-22T10:26:22+08:00 ] /index.php/Index/left | NOTIC: [8] Undefined index:  tab_id 196c657f8b82048b1beeb0f9599f5fdc.php 第 287 行.
[ 2012-11-22T10:26:22+08:00 ] /index.php/Index/main | NOTIC: [8] Undefined index:  account_id CommonAction.class.php 第 17 行.
[ 2012-11-22T10:26:22+08:00 ] /index.php/Index/main | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.001415s ]
[ 2012-11-22T10:26:22+08:00 ] /index.php/Index/main | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'xiaoluo'@'localhost' (using password: NO) CommonAction.class.php 第 125 行.
[ 2012-11-22T10:26:22+08:00 ] /index.php/Index/main | SQL: SELECT * FROM `y_account` ORDER BY id desc [ RunTime:0.000208s ]
[ 2012-11-22T10:26:22+08:00 ] /index.php/Index/main | NOTIC: [8] Undefined index:  searchkey IndexAction.class.php 第 27 行.
[ 2012-11-22T10:26:22+08:00 ] /index.php/Index/main | NOTIC: [8] Undefined variable: where IndexAction.class.php 第 31 行.
[ 2012-11-22T10:26:22+08:00 ] /index.php/Index/main | SQL: SELECT COUNT(*) AS tp_count FROM `y_account` LIMIT 1  [ RunTime:0.000077s ]
[ 2012-11-22T10:26:22+08:00 ] /index.php/Index/main | SQL: SELECT * FROM `y_account` ORDER BY `id` desc LIMIT 0,20  [ RunTime:0.000115s ]
[ 2012-11-22T10:26:22+08:00 ] /index.php/Index/main | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 159 行.
[ 2012-11-22T10:26:37+08:00 ] /index.php/Index/main?searchkey=y00164747.huyionline.cn | NOTIC: [8] Undefined index:  account_id CommonAction.class.php 第 17 行.
[ 2012-11-22T10:26:37+08:00 ] /index.php/Index/main?searchkey=y00164747.huyionline.cn | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.000973s ]
[ 2012-11-22T10:26:37+08:00 ] /index.php/Index/main?searchkey=y00164747.huyionline.cn | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'xiaoluo'@'localhost' (using password: NO) CommonAction.class.php 第 125 行.
[ 2012-11-22T10:26:37+08:00 ] /index.php/Index/main?searchkey=y00164747.huyionline.cn | SQL: SELECT * FROM `y_account` ORDER BY id desc [ RunTime:0.000162s ]
[ 2012-11-22T10:26:37+08:00 ] /index.php/Index/main?searchkey=y00164747.huyionline.cn | SQL: SELECT COUNT(*) AS tp_count FROM `y_account` WHERE ( website_name like '%y00164747.huyionline.cn%' OR contract_number like '%y00164747.huyionline.cn%' OR url like '%y00164747.huyionline.cn%' ) LIMIT 1  [ RunTime:0.000348s ]
[ 2012-11-22T10:26:37+08:00 ] /index.php/Index/main?searchkey=y00164747.huyionline.cn | SQL: SELECT * FROM `y_account` WHERE ( website_name like '%y00164747.huyionline.cn%' OR contract_number like '%y00164747.huyionline.cn%' OR url like '%y00164747.huyionline.cn%' ) ORDER BY `id` desc LIMIT 0,20  [ RunTime:0.000318s ]
[ 2012-11-22T10:26:37+08:00 ] /index.php/Index/main?searchkey=y00164747.huyionline.cn | NOTIC: [2048] Creating default object from empty value CommonAction.class.php 第 161 行.
[ 2012-11-22T10:26:38+08:00 ] /index.php/Account/edit/id/18 | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.000983s ]
[ 2012-11-22T10:26:38+08:00 ] /index.php/Account/edit/id/18 | SQL: SELECT * FROM `y_account` WHERE ( `id` = '18' ) LIMIT 1  [ RunTime:0.000190s ]
[ 2012-11-22T10:26:38+08:00 ] /index.php/Account/edit/id/18 | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.000404s ]
[ 2012-11-22T10:26:38+08:00 ] /index.php/Account/edit/id/18 | SQL: SELECT `modules` FROM `y_account` WHERE ( `id` = '18' ) LIMIT 1  [ RunTime:0.000134s ]
[ 2012-11-22T10:26:38+08:00 ] /index.php/Account/edit/id/18 | SQL: SELECT * FROM `y_category` WHERE ( `id` IN ('36','19','20','21','22','23','27','37') ) ORDER BY ordernum desc [ RunTime:0.000079s ]
[ 2012-11-22T10:26:38+08:00 ] /index.php/Account/edit/id/18 | SQL: SELECT * FROM `y_category` WHERE ( `pid` = 11 ) ORDER BY ordernum desc [ RunTime:0.000344s ]
[ 2012-11-22T10:26:39+08:00 ] /index.php/Account/edit/id/18 | NOTIC: [8] Undefined index:  tab_id 196c657f8b82048b1beeb0f9599f5fdc.php 第 287 行.
[ 2012-11-22T10:26:42+08:00 ] /index.php/Category/edit/id/20/aid/18 | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.001203s ]
[ 2012-11-22T10:26:42+08:00 ] /index.php/Category/edit/id/20/aid/18 | SQL: SELECT * FROM `y_account` WHERE ( `id` = '18' ) LIMIT 1  [ RunTime:0.000071s ]
[ 2012-11-22T10:26:42+08:00 ] /index.php/Category/edit/id/20/aid/18 | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.000697s ]
[ 2012-11-22T10:26:42+08:00 ] /index.php/Category/edit/id/20/aid/18 | NOTIC: [8] Undefined index:  act CategoryAction.class.php 第 16 行.
[ 2012-11-22T10:26:42+08:00 ] /index.php/Category/edit/id/20/aid/18 | SQL: SELECT * FROM `y_category` WHERE ( `id` = '20' ) LIMIT 1  [ RunTime:0.000192s ]
[ 2012-11-22T10:26:42+08:00 ] /index.php/Category/edit/id/20/aid/18 | SQL: SELECT `modules` FROM `y_account` WHERE ( `id` = '18' ) LIMIT 1  [ RunTime:0.000056s ]
[ 2012-11-22T10:26:42+08:00 ] /index.php/Category/edit/id/20/aid/18 | SQL: SELECT * FROM `y_category` WHERE ( `id` IN ('36','19','20','21','22','23','27','37') ) ORDER BY ordernum desc [ RunTime:0.000071s ]
[ 2012-11-22T10:26:42+08:00 ] /index.php/Category/edit/id/20/aid/18 | SQL: SELECT `langs` FROM `y_account` WHERE ( `id` = '18' ) LIMIT 1  [ RunTime:0.000140s ]
[ 2012-11-22T10:26:42+08:00 ] /index.php/Category/edit/id/20/aid/18 | SQL: SELECT * FROM `y_category` WHERE ( `alias` IN ('mobile','zh-cn') ) ORDER BY ordernum desc [ RunTime:0.000066s ]
[ 2012-11-22T10:26:42+08:00 ] /index.php/Category/edit/id/20/aid/18 | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 14 行.
[ 2012-11-22T10:26:42+08:00 ] /index.php/Category/edit/id/20/aid/18 | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 15 行.
[ 2012-11-22T10:26:42+08:00 ] /index.php/Category/edit/id/20/aid/18 | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 38 行.
[ 2012-11-22T10:26:42+08:00 ] /index.php/Category/edit/id/20/aid/18 | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 42 行.
[ 2012-11-22T10:26:42+08:00 ] /index.php/Category/edit/id/20/aid/18 | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 56 行.
[ 2012-11-22T10:26:42+08:00 ] /index.php/Category/edit/id/20/aid/18 | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 60 行.
[ 2012-11-22T10:26:42+08:00 ] /index.php/Category/edit/id/20/aid/18 | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 64 行.
[ 2012-11-22T10:26:42+08:00 ] /index.php/Category/edit/id/20/aid/18 | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 68 行.
[ 2012-11-22T10:26:42+08:00 ] /index.php/Category/edit/id/20/aid/18 | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 72 行.
[ 2012-11-22T10:26:42+08:00 ] /index.php/Category/edit/id/20/aid/18 | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 93 行.
[ 2012-11-22T10:26:42+08:00 ] /index.php/Category/edit/id/20/aid/18 | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 101 行.
[ 2012-11-22T10:26:42+08:00 ] /index.php/Category/edit/id/20/aid/18 | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 102 行.
[ 2012-11-22T10:26:42+08:00 ] /index.php/Category/edit/id/20/aid/18 | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 103 行.
[ 2012-11-22T10:26:44+08:00 ] /index.php/Category/edit/id/23/aid/18 | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.001385s ]
[ 2012-11-22T10:26:44+08:00 ] /index.php/Category/edit/id/23/aid/18 | SQL: SELECT * FROM `y_account` WHERE ( `id` = '18' ) LIMIT 1  [ RunTime:0.000079s ]
