[ 2012-11-08T11:40:31+08:00 ] / | NOTIC: [8] Undefined index:  account_id CommonAction.class.php 第 17 行.
[ 2012-11-08T11:40:31+08:00 ] / | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.001323s ]
[ 2012-11-08T11:40:31+08:00 ] / | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'xiaoluo'@'localhost' (using password: NO) CommonAction.class.php 第 125 行.
[ 2012-11-08T11:40:32+08:00 ] /index.php/Index/main | NOTIC: [8] Undefined index:  account_id CommonAction.class.php 第 17 行.
[ 2012-11-08T11:40:32+08:00 ] /index.php/Index/main | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.001145s ]
[ 2012-11-08T11:40:32+08:00 ] /index.php/Index/main | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'xiaoluo'@'localhost' (using password: NO) CommonAction.class.php 第 125 行.
[ 2012-11-08T11:40:32+08:00 ] /index.php/Index/main | SQL: SELECT * FROM `y_account` ORDER BY id desc [ RunTime:0.000490s ]
[ 2012-11-08T11:40:32+08:00 ] /index.php/Index/main | NOTIC: [8] Undefined index:  searchkey IndexAction.class.php 第 27 行.
[ 2012-11-08T11:40:32+08:00 ] /index.php/Index/main | NOTIC: [8] Undefined variable: where IndexAction.class.php 第 31 行.
[ 2012-11-08T11:40:32+08:00 ] /index.php/Index/main | SQL: SELECT COUNT(*) AS tp_count FROM `y_account` LIMIT 1  [ RunTime:0.000123s ]
[ 2012-11-08T11:40:32+08:00 ] /index.php/Index/main | SQL: SELECT * FROM `y_account` ORDER BY `id` desc LIMIT 0,20  [ RunTime:0.000282s ]
[ 2012-11-08T11:40:32+08:00 ] /index.php/Index/main | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 159 行.
[ 2012-11-08T11:40:32+08:00 ] /index.php/Index/left | NOTIC: [8] Undefined index:  account_id CommonAction.class.php 第 17 行.
[ 2012-11-08T11:40:32+08:00 ] /index.php/Index/left | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.000900s ]
[ 2012-11-08T11:40:32+08:00 ] /index.php/Index/left | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'xiaoluo'@'localhost' (using password: NO) CommonAction.class.php 第 125 行.
[ 2012-11-08T11:40:32+08:00 ] /index.php/Index/left | NOTIC: [8] Undefined index:  account_id 196c657f8b82048b1beeb0f9599f5fdc.php 第 15 行.
[ 2012-11-08T11:40:32+08:00 ] /index.php/Index/left | NOTIC: [8] Undefined variable: isConnect 196c657f8b82048b1beeb0f9599f5fdc.php 第 59 行.
[ 2012-11-08T11:40:32+08:00 ] /index.php/Index/left | NOTIC: [8] Undefined variable: langList 196c657f8b82048b1beeb0f9599f5fdc.php 第 114 行.
[ 2012-11-08T11:40:32+08:00 ] /index.php/Index/left | NOTIC: [8] Undefined variable: moduleList 196c657f8b82048b1beeb0f9599f5fdc.php 第 220 行.
[ 2012-11-08T11:40:32+08:00 ] /index.php/Index/left | NOTIC: [8] Undefined index:  tab_id 196c657f8b82048b1beeb0f9599f5fdc.php 第 287 行.
[ 2012-11-08T11:40:43+08:00 ] /index.php/Index/main?searchkey=y00166341.huyionline.cn | NOTIC: [8] Undefined index:  account_id CommonAction.class.php 第 17 行.
[ 2012-11-08T11:40:43+08:00 ] /index.php/Index/main?searchkey=y00166341.huyionline.cn | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.001144s ]
[ 2012-11-08T11:40:43+08:00 ] /index.php/Index/main?searchkey=y00166341.huyionline.cn | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'xiaoluo'@'localhost' (using password: NO) CommonAction.class.php 第 125 行.
[ 2012-11-08T11:40:43+08:00 ] /index.php/Index/main?searchkey=y00166341.huyionline.cn | SQL: SELECT * FROM `y_account` ORDER BY id desc [ RunTime:0.000150s ]
[ 2012-11-08T11:40:43+08:00 ] /index.php/Index/main?searchkey=y00166341.huyionline.cn | SQL: SELECT COUNT(*) AS tp_count FROM `y_account` WHERE ( website_name like '%y00166341.huyionline.cn%' OR contract_number like '%y00166341.huyionline.cn%' OR url like '%y00166341.huyionline.cn%' ) LIMIT 1  [ RunTime:0.000327s ]
[ 2012-11-08T11:40:43+08:00 ] /index.php/Index/main?searchkey=y00166341.huyionline.cn | SQL: SELECT * FROM `y_account` WHERE ( website_name like '%y00166341.huyionline.cn%' OR contract_number like '%y00166341.huyionline.cn%' OR url like '%y00166341.huyionline.cn%' ) ORDER BY `id` desc LIMIT 0,20  [ RunTime:0.000304s ]
[ 2012-11-08T11:40:43+08:00 ] /index.php/Index/main?searchkey=y00166341.huyionline.cn | NOTIC: [2048] Creating default object from empty value CommonAction.class.php 第 161 行.
[ 2012-11-08T11:40:45+08:00 ] /index.php/Account/edit/id/54 | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.001428s ]
[ 2012-11-08T11:40:45+08:00 ] /index.php/Account/edit/id/54 | SQL: SELECT * FROM `y_account` WHERE ( `id` = '54' ) LIMIT 1  [ RunTime:0.000257s ]
[ 2012-11-08T11:40:45+08:00 ] /index.php/Account/edit/id/54 | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.000511s ]
[ 2012-11-08T11:40:45+08:00 ] /index.php/Account/edit/id/54 | SQL: SELECT `modules` FROM `y_account` WHERE ( `id` = '54' ) LIMIT 1  [ RunTime:0.000170s ]
[ 2012-11-08T11:40:45+08:00 ] /index.php/Account/edit/id/54 | SQL: SELECT * FROM `y_category` WHERE ( `id` IN ('36','19','20','21','22','23','27','37') ) ORDER BY ordernum desc [ RunTime:0.000546s ]
[ 2012-11-08T11:40:45+08:00 ] /index.php/Account/edit/id/54 | SQL: SELECT * FROM `y_category` WHERE ( `pid` = 11 ) ORDER BY ordernum desc [ RunTime:0.000370s ]
[ 2012-11-08T11:40:45+08:00 ] /index.php/Account/edit/id/54 | NOTIC: [8] Undefined index:  tab_id 196c657f8b82048b1beeb0f9599f5fdc.php 第 287 行.
[ 2012-11-08T11:41:00+08:00 ] /index.php/Index/main | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.000976s ]
[ 2012-11-08T11:41:00+08:00 ] /index.php/Index/main | SQL: SELECT * FROM `y_account` WHERE ( `id` = '54' ) LIMIT 1  [ RunTime:0.000109s ]
[ 2012-11-08T11:41:00+08:00 ] /index.php/Index/main | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.000700s ]
[ 2012-11-08T11:41:00+08:00 ] /index.php/Index/main | SQL: SELECT * FROM `y_account` ORDER BY id desc [ RunTime:0.000561s ]
[ 2012-11-08T11:41:00+08:00 ] /index.php/Index/main | NOTIC: [8] Undefined index:  searchkey IndexAction.class.php 第 27 行.
[ 2012-11-08T11:41:00+08:00 ] /index.php/Index/main | NOTIC: [8] Undefined variable: where IndexAction.class.php 第 31 行.
[ 2012-11-08T11:41:00+08:00 ] /index.php/Index/main | SQL: SELECT COUNT(*) AS tp_count FROM `y_account` LIMIT 1  [ RunTime:0.000191s ]
[ 2012-11-08T11:41:00+08:00 ] /index.php/Index/main | SQL: SELECT * FROM `y_account` ORDER BY `id` desc LIMIT 0,20  [ RunTime:0.000308s ]
[ 2012-11-08T11:41:00+08:00 ] /index.php/Index/main | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 159 行.
[ 2012-11-08T11:41:46+08:00 ] /index.php/Index/main?searchkey=Y00164755 | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.000971s ]
[ 2012-11-08T11:41:46+08:00 ] /index.php/Index/main?searchkey=Y00164755 | SQL: SELECT * FROM `y_account` WHERE ( `id` = '54' ) LIMIT 1  [ RunTime:0.000076s ]
[ 2012-11-08T11:41:46+08:00 ] /index.php/Index/main?searchkey=Y00164755 | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.000596s ]
[ 2012-11-08T11:41:46+08:00 ] /index.php/Index/main?searchkey=Y00164755 | SQL: SELECT * FROM `y_account` ORDER BY id desc [ RunTime:0.000191s ]
[ 2012-11-08T11:41:46+08:00 ] /index.php/Index/main?searchkey=Y00164755 | SQL: SELECT COUNT(*) AS tp_count FROM `y_account` WHERE ( website_name like '%Y00164755%' OR contract_number like '%Y00164755%' OR url like '%Y00164755%' ) LIMIT 1  [ RunTime:0.000362s ]
